ID;URL;Price;Description;activity_sector;external_ad_id;real_estate_type;square;land_plot_surface;rooms;bedrooms;nb_bathrooms;nb_shower_room;energy_rate;ges;specificities;heating_type;heating_mode;elevator;outside_access;fees_at_the_expanse_of;fai_included;pro_rates_link;district_id;district_visibility;district_type_id;district_resolution_type;mandate_type;price_per_square_meter;custom_ref;immo_sell_type;is_import;lease_type;nb_floors_building;nb_parkings;building_year;old_price;has_visibility_option;store_logo;store_name;online_store_id;floor_number;annual_charges;orientation;virtual_tour;profile_picture_url;real_estate_type_specificities;nb_floors_house;new_seller_type;available_date;type_real_estate_sale;rating_score;rating_count;is_preview_program
2905282274;https://www.leboncoin.fr/ad/ventes_immobilieres/2905282274;998000;"Maison 5 pièces 215 m²

Côté Particuliers Chatillon vous propose : Centre-ville de Chatillon, proche du tramway T6 et du métro Ligne 13, dans une zone pavillonnaire, sur un terrain de 258 m², avec un jardin paysagé et fleuri de 100 m², cette maison contemporaine de 215 m² vous offre : une entrée avec rangements, un grand séjour donnant sur un balcon, une salle à manger avec cuisine américaine, aménagée et équipée, ouvrant sur une grande terrasse de 17 m² exposée ouest côté jardin, un WC indépendant. A l'étage : 3 chambres dont deux avec mezzanine et une avec terrasse, 1 dressing, 1 salle de bains avec WC, une salle d'eau, un sauna. Au sous-sol : buanderie, un grand garage, une pièce de 16 m² et une annexe, facilement aménageables, donnant sur le jardin. Prix de vente 998 000 € dont 18 000 € d'honoraires d'agence à la charge de l'acquéreur

Surface : 215 m²
Prix du bien : 998000 €
Prix du bien hors honoraires : 980000 €
Honoraires TTC : 1.84 % soit 18000 €
Honoraires à la charge de l'acquéreur
Date de réalisation du diagnostic énergétique : 02/01/2024

Consommation énergie primaire : 249 kWh/m²/an
Consommation énergie finale : Non communiqué

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 2 600 € et 3 000 € par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris)";2;ac3_22222_57369662;1;215;258;5;3;1;1;d;b;;individual;electric;2;;buyer;1;https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/389718.pdf;110713;VRAI;1;integration;simple;4642;794;old;VRAI;sell;;;;;;;;;;;;;;;;;;;;;
2888689993;https://www.leboncoin.fr/ad/ventes_immobilieres/2888689993;695000;"Maison 4 pièces 105 m²

Asnières sur Seine, Gilbert Rousset
Dans un secteur pavillonnaire, maison de 1930 en très bon état.
Elle se compose d'un rez-de-chaussée surélevé comprenant séjour avec coin salle à manger donnant accès à une terrasse parfaitement au calme. Cuisine indépendante aménagée et équipée, wc indépendant ainsi qu'un dégagement avec grand placard.
Le premier niveau vous offre une salle de bain avec wc ainsi qu'une chambre et un bureau donnant accès au second niveau comprenant une grande chambre sous combles.
Sous-sol total de plein pied aménagé en suite parentale. Cet espace comprend une grande chambre avec espace bureau, une salle d'eau avec wc et coin buanderie.
Maison baignée de lumière, traversante, avec accès voiture ainsi qu'une second espace extérieur.

Surface : 105 m²
Prix du bien : 695000 €
Honoraires à la charge du vendeur
Date de réalisation du diagnostic énergétique : 09/10/2024

Consommation énergie primaire : 225 kWh/m²/an
Consommation énergie finale : 0.00 kWh/m²/an

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 935 € et 2 619 € sur les années 2021, 2022 et 2023 (abonnements compris).";2;netty_21516_122362;1;105;;4;3;1;1;d;d;;individual;gas;;;seller;;https://files.netty.immo/file/cost92/42495/jMU52/cost_bareme_honoraire_2023_cdg_1.pdf;3001098;VRAI;9;integration;exclusive;6619;VM2362-COST92;old;VRAI;sell;1;1;1930;720000;;;;;;;;;;;;;;;;;
2783453323;https://www.leboncoin.fr/ad/ventes_immobilieres/2783453323;798000;"Maison À Vendre

VOTRE AGENCE ORPI VOUS PROPOSE CETTE BELLE MAISON FAMILIALE PROCHE ÉCOLES ET TRANSPORTS, QUARTIER COLONEL FABIEN/BOIS DE VERRIÈRES
Cette magnifique maison ancienne rénovée et agrandie avec des matériaux de qualité est un agréable lieu de vie pour y voir grandir votre famille!
A quelques minutes à pied du centre ville, des écoles et de la coulée verte, 15' RER B ANTONY, 2’ bus, dans un quartier résidentiel, cette maison en bon état état général d'une surface habitable de 126m2 ( 151m2 utiles) se compose d’un RDC avec entrée, vaste espace de vie avec cheminée et grande baie vitrée de plain pied sur terrasse et joli jardin arboré Sud/Ouest, salon TV de 18m2, cuisine semi-ouverte, cave, buanderie, chaufferie. A l’étage un agréable palier avec ouvertures sur le salon dessert deux chambres, salle de bains avec baignoire et douche et wc. Au deuxième étage, une vaste chambre avec rangements et salle de bains. Un carport et un cabanon de jardin complètent ce bien. Vous pourrez stationner plusieurs voitures dans l'allée.
La maison est parfaitement entretenue avec double vitrage, les matériaux sont de qualité et la décoration soignée ! Vous adorerez le cachet de cette maison ! Appelez-nous pour la visiter...

Référence agence : 4664
Référence annonce : KP4A-KC3-J2H
Date de réalisation du diagnostic : 02/07/2024
Prix hors honoraires : 773 000 €

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 3350 € et 4570 € par an. Prix moyens des énergies indexés sur l'année 2023 (abonnements compris)";2;ubiflow_ACCPI528559_431516753;1;124;366;5;3;2;;e;e;;;gas;;;buyer;1;https://telemaque.orpi.coop/agence/12/bareme.pdf;3000834;VRAI;9;integration;simple;6435;KP4A-KC3-J2H;old;VRAI;sell;3;1;;850000;;;;;;;;;;;;;;;;;
2848263049;https://www.leboncoin.fr/ad/ventes_immobilieres/2848263049;549000;"Maison 4 pièces 90 m²

NANTERRE - PLATEAU- Venez découvrir cette maison de 89m² environ, proche des écoles ( Romain Rolland), des commerces et des transports (15min La défense).

Cette maison de 89m² comprend au rez de chaussée un salon/salle à manger avec cheminée, une cuisine équipée et aménagée, une chambre ou autre pièce, une salle de bain et des toilettes.
A l'étage: 2 chambres et un bureau, une salle d'eau avec toilette.
Jardin sur le devant de la maison

Travaux à prévoir

Possibilité de garer 2 voitures.

Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Prix de vente : 549 000 €
Honoraires charge vendeur

Contactez votre conseiller SAFTI : Aurélie DANVERT, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de NANTERRE sous le numéro 894 834 175

Surface : 90 m²
Honoraires à la charge du vendeur
Date de réalisation du diagnostic énergétique : 21/10/2023

Consommation énergie primaire : 371 kWh/m²/an
Consommation énergie finale : Non communiqué

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 990 € et 2 750 € par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris)
Logement à consommation énergétique excessive : classe F";2;safti_187555_1360578;1;90;198;4;3;2;;f;c;;individual;electric;2;;seller;;https://bareme.safti.fr;100351;VRAI;1;integration;simple;6100;1360578;old;VRAI;sell;;;1930;;VRAI;https://img.leboncoin.fr/api/v1/lbcpb1/images/a8/d3/4e/a8d34e2a-16fd-4c51-a4ba-1c4ad4385232?rule=bo-thumb;Aurélie DANVERT - SAFTI;5831923;;;;;;;;;;;;;
2931937104;https://www.leboncoin.fr/ad/ventes_immobilieres/2931937104;699000;"Maison 4 pièces 90 m²

iad France - Marion Poirel vous propose: Charmante maison de 90m² quartier Marceau.
Située dans un quartier pavillonnaire calme, cette maison de 1930 rénovée, offre 90 m² habitables sur un terrain de 134 m².
Au rez-de-chaussée, vous trouverez : une entrée avec rangements, un WC, une belle pièce de vie lumineuse avec une cuisine aménagée et équipée. 
Au 1er étage : un palier avec coin bureau distribue deux belles chambres, une salle d'eau et un WC.
Au 2nd : une chambre avec rangements sur-mesure.
A l'arrière de la maison vous pourrez profiter d'une jolie terrasse de 40m² environ.
Cette maison offre également un sous-sol comprenant une pièce avec point d'eau et WC, et une autre pièce avec coin buanderie et rangements. 
Localisation idéale :
Gare du Stade à seulement 5 minutes à pied,
Centre-ville et gare de Colombes à 10 minutes à pied,
Ecole maternelle et primaire Victor Hugo à proximité,
Proche du marché Marceau.

Honoraires d'agence à la charge du vendeur.
Information d'affichage énergétique sur ce bien : classe ENERGIE D indice 170 et classe CLIMAT D indice 35. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : www.georisques.gouv.fr.
La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Marion Poirel mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de NANTERRE sous le numéro 911005155, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.

Surface : 90 m²
Honoraires à la charge du vendeur
Date de réalisation du diagnostic énergétique : 11/11/2023

Consommation énergie primaire : 170 kWh/m²/an
Consommation énergie finale : Non communiqué

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 090 € et 1 510 € par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris)";2;iad_134596_1745374;1;90;134;4;3;;;d;d;;;gas;2;;seller;;https://bareme.iadfrance.fr/detail/65888;100331;VRAI;1;integration;exclusive;7767;1688149;old;VRAI;sell;;;1930;;VRAI;https://img.leboncoin.fr/api/v1/lbcpb1/images/bd/c2/78/bdc278ec-9c3f-4439-8b14-72dfe412cf3d?rule=bo-thumb;Marion Poirel - IAD France;2767495;;;;;;;;;;;;;
2929426493;https://www.leboncoin.fr/ad/ventes_immobilieres/2929426493;1030000;"Maison Sèvres 7 pièce(s) 188 m2

Dans le quartier recherché de Croix Bosset Monesse Brancas, cette maison de 188 m² (151 m² Carrez), complétée d'un sous-sol aménagé, offre de beaux volumes et un agencement fonctionnel, idéal pour une famille. Située dans un ensemble au sein d'un parc arboré et sécurisé, elle vous offre un environnement privilégié.

Le rez-de-chaussée se compose d'un vaste séjour traversant , d'une salle à manger et d'une cuisine indépendante (possibilité d'ouverture, home staging en visuel), WC.
Le sous-sol aménagé de 32 m² est un espace polyvalent : salle de jeux, home cinéma ou bureau selon vos envies.

A l'étage, trois chambres de 11 m² , une salle de bain , un WC indépendant et une suite parentale avec dressing et salle de bain privative offrent un cadre confortable.
Les combles aménagés disposent d'un grand bureau et d'une chambre supplémentaire .
A proximité immédiate des commerces, de la gare de Sèvres / Ville d'Avray (La Défense, Saint-Lazare) et du parc de Saint-Cloud . Collège et lycée avec section internationale à 10 minutes.
Un garage fermé complet ce bien.

Prix: 1 030 000 euros, honoraires charge vendeur.
DPE: classe D - GES: classe D. Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard établi à partir des prix de l'énergie de l'année 2021: entre 1 990 euros et 2 740 euros. Copropriété de 18 maisons. Estimation annuelle des charges 2 587 euros. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr
Pour visiter et vous accompagner dans votre projet, contactez Jean-Philippe JOUBERT, au [Coordonnées masquées] ou par courriel à [Coordonnées masquées]
Selon l'article L.561.5 du Code Monétaire et Financier, pour l'organisation de la visite, la présentation d'une pièce d'identité vous sera demandée.
Cette vente est garantie 12 mois.
Cette présente annonce a été rédigée sous la responsabilité éditoriale de Jean-Philippe JOUBERT agissant sous le statut d'agent commercial immatriculé au RSAC PARIS 901 744 433 auprès de la SAS PROPRIETES PRIVEES, au capital de  40 000  euros, ZAC LE CHÊNE FERRÉ - 44 ALLÉE DES CINQ CONTINENTS 44120 VERTOU; SIRET 487 624 777 00040, RCS Nantes. Carte professionnelle Transactions sur immeubles et fonds de commerce (T) et Gestion immobilière (G) n° CPI 4401 2016 000 010 388 délivrée par la CCI Nantes - Saint Nazaire. Compte séquestre n°30932508467 BPA SAINT-SEBASTIEN-SUR-LOIRE (44230) ; Garantie GALIAN - 89 rue de la Boétie, 75008 Paris - n°28137 J pour 2 000 000 euros pour T et 120 000 euros pour G. Assurance responsabilité civile professionnelle par MMA Entreprise n° de police 120.137.405
Mandat réf : 393343 - Le professionnel garantit et sécurise votre projet immobilier.

Copropriété de 8 lots ().

 Charges annuelles : 2587  euros.
 Jean-Philippe JOUBERT (EI) Agent Commercial - Numéro RSAC : PARIS 901 744 433 - .
Référence annonce : 393343HJJ
Date de réalisation du diagnostic : 04/04/2024
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Pas de procédure en cours
Nombre de lots : 8
Charges prévisionnelles annuelles : 2587 €

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 990 € et 2 740 € par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris)";2;ubiflow_ACCPI2546673_456859283;1;188;;7;5;2;;d;d;;individual;gas;2;;seller;;https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/310959.pdf;3000104;VRAI;9;integration;simple;5479;393343HJJ;old;VRAI;sell;3;;;;VRAI;https://img.leboncoin.fr/api/v1/lbcpb1/images/f9/19/df/f919df9d-8e31-4c6f-ad31-356abd570eba?rule=bo-thumb;JOUBERT Jean-Philippe - proprietes-privees.com;1339457;0;2587;;;;;;;;;;;
2837696460;https://www.leboncoin.fr/ad/ventes_immobilieres/2837696460;1195740;"Dpt Hauts de Seine (92), à vendre  maison P7 de 220 m² - Terrain de 560,00 m²

Au milieu de deux univers, d’un côté la ville, son RER Robinson (300 m), ses commerces de la rue Houdan et de l’autre la campagne, la vallée aux loups (600 m), une belle maison familiale de 217m² habitables (290 m² au sol) au calme et disposant d'un beau jardin sans vis à vis, sur une parcelle de 560 m², vous ouvre ses portes.

Au rez-de-chaussée, nous pénétrons dans un grand salon et sa salle à manger avec une cuisine semi ouverte. Cet espace de vie de plus de 66 m², très lumineux, en double exposition, est ouvert sur une grande terrasse invitant à la flânerie.

Au premier étage, le vaste palier dessert 3 belles chambres (19/15/11m²), une salle de bain, une salle d’eau et un dressing.

Au rez-de-jardin, vous disposez d'une chambre avec sa salle d’eau, une grande pièce de 28 m² ouverte sur la nature, pouvant être utilisée en salle de jeux ou autre, plusieurs pièces de rangement, mais aussi un jardin d’hiver ! Ce rez-de-jardin possède aussi sa propre entrée et peut être indépendant idéal pour une profession libérale ou le télétravail.

L’ensemble est complété par un garage pour deux voitures, une cave, un atelier et une chaufferie.
 Les honoraires d'agence sont à la charge de l'acquéreur, soit 2,20% TTC du prix hors honoraires.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr.

Réseau Immobilier CAPIFRANCE - Votre agent commercial (RSAC N°788 923 910 - Greffe de NANTERRE) Patrice DUFLOT Entrepreneur Individuel [Coordonnées masquées] - Réf.871465
Référence annonce : 340937182766
Date de réalisation du diagnostic : 03/03/2023
Prix hors honoraires : 1 170 000 €";2;ubiflow_ACCPI711957_436896710;1;220;560;7;;2;1;d;d;;;gas;;;buyer;1;http://assets.digitregroup.io/capifrance/capifrance_baremes_agence_B2024-A.pdf;110702;FAUX;1;integration_flux;exclusive;5435;3,40937E+11;old;VRAI;sell;3;1;1957;;VRAI;https://img.leboncoin.fr/api/v1/lbcpb1/images/33/01/3b/33013b58-4b44-45bd-96b6-7aeee8da67d8?rule=bo-thumb;Patrice DUFLOT;62138;;;;;;;;;;;;;
2927921580;https://www.leboncoin.fr/ad/ventes_immobilieres/2927921580;880000;"Belle maison Familial quartier de la Mairie

FONCIA ANTONY

Pour tous renseignements ou pour une visite directe, veuillez contacter M. ROUVERON à l'agence d'ANTONY au [Coordonnées masquées].

ANTONY - QUARTIER DE LA MAIRIE
À 10 minutes à pied du R.E.R. B d'ANTONY, proche du quartier de l'Hôtel de Ville, de la Coulée Verte, des commerces de proximité et des commodités. Située au calme dans un quartier pavillonnaire très recherché et familial, cette maison offre un cadre de vie agréable.
Venez découvrir cette charmante et spacieuse maison de type 9 pièces, édifiée en 1936 sur une parcelle de 468 m². Elle dispose d'une surface habitable de 167,49 m² et d'une surface totale de 238,89 m², qui se décompose comme suit :
Au Rez-de-chaussée : Un magnifique séjour avec plafond cathédrale et cheminée, totalisant une superficie de 40,10 m², avec accès direct de plain-pied sur un agréable jardin arboré en exposition plein EST.
Au Premier étage : Un palier de 3,03 m², Une cuisine aménagée de 14,29 m², Un second espace salon/séjour avec cheminée de 32,85 m² et une chambre de 10,41 m² et une mezzanine-bureau de 12,28 m²..
Au Deuxième étage : Un palier de 5,70 m², Un WC séparé de 1,96 m²,  Une chambre de 15,12 m², Deux combles de 3,98 m² et 3,16 m², une salle de bain de 8,17 m², et une grande chambre de 21,85 m².

La maison dispose également d’un grand sous-sol comprenant : Un dégagement de 9,25 m², une chambre de 10,51 m², un garage de 33,2 m², une buanderie de 10,48 m² et  Un WC séparé de 2,55 m².
Cette maison est parfaite pour une famille en quête d'espace et de confort. N'hésitez pas à nous contacter pour plus d'informations ou pour organiser une visite !

Institutions scolaires :
- École maternelle : André Chénier
- École élémentaire : Edmond Blanguernon
- Collège : François Furet
Référence annonce : 00624653
Date de réalisation du diagnostic : 25/01/2025
Les honoraires sont à la charge du vendeur

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 5 840 € et 7 930 € sur les années 2021, 2022 et 2023 (abonnements compris).
Logement à consommation énergétique excessive : classe F";2;ubiflow_ACCPI416078_455858990;1;238;468;9;4;1;;f;f;;individual;gas;;;seller;;https://fr.foncia.com/agence-immobiliere/antony-92160/agence-immobiliere/foncia-transaction-antony-mounie-1000;3000834;VRAI;9;integration;simple;3697;00624653;old;VRAI;sell;;;1936;930000;;;;;;;;;;;;;;;;;
2931692819;https://www.leboncoin.fr/ad/ventes_immobilieres/2931692819;499000;"?? OPPORTUNITÉ À SAISIR - MAISON LUMINEUSE ET FAMILIALE À COLOMBES ??

?? Adresse : Colombes / Champarons : Environnement pavillonnaire et calme, Colombes
?? Surface : 146.34 m² au sol (107 m² habitables) répartis sur 2 niveaux + combles

Yan AUBERTIN de l'agence NATIIVE by efficity vous présente cette charmante maison familiale de 4 pièces, offrant un cadre de vie idéal pour toute la famille dans un quartier résidentiel et paisible de Colombes ??.

? Caractéristiques principales :
- Surface totale : 146.34 m² (96.34 m² habitables) ??
- 3 chambres spacieuses, possibilité d'une 4ème chambre dans les combles aménagés
- Exposition Sud-Ouest pour une luminosité optimale ??
- Grand jardin de 170 m² et terrasse de 35 m², parfaits pour profiter des beaux jours en extérieur ??
- Combles aménagés de 50 m², offrant un espace de vie supplémentaire ??

?? Proximité : Gare Le Stade, Tramway Quatre Routes, Bus Les Champarons, et Métro Les Courtilles (M°13) pour une mobilité facilitée. Écoles (Victor Hugo, Jean Baptiste Clément) à quelques minutes à pied, parfait pour les familles ???????????.

Construite après 2010, cette maison moderne et en parfait état offre une excellente isolation et des prestations de qualité, vous assurant confort et sérénité au quotidien. Deux places de stationnement extérieur incluses pour plus de praticité ??.

En bonus, une dépendance en fond de parcelle

Ne manquez pas cette opportunité rare de devenir propriétaire d’un véritable cocon familial.

Contactez-nous dès maintenant pour organiser une visite et découvrir ce bien d’exception ! ??
 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
 Yan Aubertin représentant de la SARL Natiive dont le siège social se situe 32 rue Raspail 92270 Bois Colombes - titulaire de la carte professionnelle CPI CPI92012017000019566 - CCI de Paris le 07/07/2022 - immatriculée au RCS de Nanterre sous le n°829105352 - immatriculée au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Nanterre sous le n°829105352.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 7501 2015 000 002 025 - CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris
Référence annonce : 156207
Date de réalisation du diagnostic : 27/07/2022
Les honoraires sont à la charge du vendeur

Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 280 € et 1 770 € par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris)";2;ubiflow_ACCPI2831724_457372619;1;146;288;4;3;1;;d;d;;individual;gas;2;;seller;;http://diszln7ft1ccx.cloudfront.net/pdf/BAREME_NATIONAL.pdf;100331;VRAI;1;integration_flux;exclusive;3418;156207;old;VRAI;sell;;2;2009;;;;;;;;south;https://my.matterport.com/show/?m=YeZaayweV2A;;;;;;;;;
2949507851;https://www.leboncoin.fr/ad/ventes_immobilieres/2949507851;1200000;Pavillon , cuisine américaine,toute équipée , récente, 3 Salle de bain dont 2 suites parentales,et 1 avec  baignoire  balnéo ,douche, double vasque ,3wc ,cave , grenier , Salle de jeux ,1  studio avec entrée indépendante ,, ravalement récent, double vitrage tous les volets électriques télécommandés, entièrement isolée , cheminée, possibilité créer chambres supplémentaires et divers parkings et garages, quartier calme a 5 mn à pied, de ts commerces , écoles,et toutes commodités quartier Buzenval Rueil Malmaison;;;1;200;470;7;4;3;;;;;;electric;;;;;;100378;VRAI;1;integration;;6000;;old;FAUX;sell;;4;1978;;;;;;;;south;;https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/bbd41ad6-e964-57f2-84aa-c24cda2dcf70?rule=pp-small;;3;;;;;;
